item(abutton,s0,msg(autoStartSysMsg,dispatch,abutton,abutton,start,7)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),10)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(off),12)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(off),13)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(on),14)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),15)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(off),17)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),18)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(on),20)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),21)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(off),23)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),24)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(on),26)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),27)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(off),29)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),30)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(on),32)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),33)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(off),35)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),36)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(on),38)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),39)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(off),41)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),42)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(on),44)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),45)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(off),47)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),48)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(on),50)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),51)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(off),53)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),54)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(on),56)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),57)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(off),59)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),60)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(on),62)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),63)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(off),65)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),66)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(on),68)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),69)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(off),71)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),72)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(on),74)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),75)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(off),77)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),78)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(on),80)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),81)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(off),83)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),84)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(on),86)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),87)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(off),89)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),90)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(on),92)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),93)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(off),95)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),96)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(on),98)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),99)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(off),101)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),102)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(on),104)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),105)).
item(abutton,work,msg(ledchanged,event,led,none,ledchanged(off),107)).
item(abutton,work,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),108)).
