item(led,s0,msg(autoStartSysMsg,dispatch,led,led,start,5)).
item(led,s0,msg(config,dispatch,abutton,led,config(ledgui),8)).
item(led,waitCmd,msg(turnOff,dispatch,abutton,led,turnOff(ok),9)).
item(led,waitCmd,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),10)).
item(led,waitCmd,msg(turnOn,dispatch,abutton,led,turnOn(ok),11)).
item(led,waitCmd,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),15)).
item(led,waitCmd,msg(turnOff,dispatch,abutton,led,turnOff(ok),16)).
item(led,waitCmd,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),18)).
item(led,waitCmd,msg(turnOn,dispatch,abutton,led,turnOn(ok),19)).
item(led,waitCmd,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),21)).
item(led,waitCmd,msg(turnOff,dispatch,abutton,led,turnOff(ok),22)).
item(led,waitCmd,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),24)).
item(led,waitCmd,msg(turnOn,dispatch,abutton,led,turnOn(ok),25)).
item(led,waitCmd,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),27)).
item(led,waitCmd,msg(turnOff,dispatch,abutton,led,turnOff(ok),28)).
item(led,waitCmd,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),30)).
item(led,waitCmd,msg(turnOn,dispatch,abutton,led,turnOn(ok),31)).
item(led,waitCmd,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),33)).
item(led,waitCmd,msg(turnOff,dispatch,abutton,led,turnOff(ok),34)).
item(led,waitCmd,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),36)).
item(led,waitCmd,msg(turnOn,dispatch,abutton,led,turnOn(ok),37)).
item(led,waitCmd,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),39)).
item(led,waitCmd,msg(turnOff,dispatch,abutton,led,turnOff(ok),40)).
item(led,waitCmd,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),42)).
item(led,waitCmd,msg(turnOn,dispatch,abutton,led,turnOn(ok),43)).
item(led,waitCmd,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),45)).
item(led,waitCmd,msg(turnOff,dispatch,abutton,led,turnOff(ok),46)).
item(led,waitCmd,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),48)).
item(led,waitCmd,msg(turnOn,dispatch,abutton,led,turnOn(ok),49)).
item(led,waitCmd,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),51)).
item(led,waitCmd,msg(turnOff,dispatch,abutton,led,turnOff(ok),52)).
item(led,waitCmd,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),54)).
item(led,waitCmd,msg(turnOn,dispatch,abutton,led,turnOn(ok),55)).
item(led,waitCmd,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),57)).
item(led,waitCmd,msg(turnOff,dispatch,abutton,led,turnOff(ok),58)).
item(led,waitCmd,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),60)).
item(led,waitCmd,msg(turnOn,dispatch,abutton,led,turnOn(ok),61)).
item(led,waitCmd,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),63)).
item(led,waitCmd,msg(turnOff,dispatch,abutton,led,turnOff(ok),64)).
item(led,waitCmd,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),66)).
item(led,waitCmd,msg(turnOn,dispatch,abutton,led,turnOn(ok),67)).
item(led,waitCmd,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),69)).
item(led,waitCmd,msg(turnOff,dispatch,abutton,led,turnOff(ok),70)).
item(led,waitCmd,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),72)).
item(led,waitCmd,msg(turnOn,dispatch,abutton,led,turnOn(ok),73)).
item(led,waitCmd,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),75)).
item(led,waitCmd,msg(turnOff,dispatch,abutton,led,turnOff(ok),76)).
item(led,waitCmd,msg(buttonCmd,event,buttonEventEmitter,none,buttonCmd(clickOnOff),78)).
item(led,waitCmd,msg(turnOn,dispatch,abutton,led,turnOn(ok),79)).
