item(sender,s0,msg(autoStartSysMsg,dispatch,sender,sender,start,7)).
item(sender,s0,msg(local_tout_worker_workshiftMorning,event,timer_workshiftMorning,none,local_tout_worker_workshiftMorning,19)).
item(sender,s0,msg(local_tout_worker_workshiftAfternoon,event,timer_workshiftAfternoon,none,local_tout_worker_workshiftAfternoon,30)).
item(sender,s0,msg(local_tout_worker_sleeping,event,timer_sleeping,none,local_tout_worker_sleeping,34)).
item(sender,s0,msg(local_tout_worker_workshiftMorning,event,timer_workshiftMorning,none,local_tout_worker_workshiftMorning,41)).
item(sender,s0,msg(local_tout_worker_workshiftAfternoon,event,timer_workshiftAfternoon,none,local_tout_worker_workshiftAfternoon,46)).
item(sender,s0,msg(local_tout_worker_sleeping,event,timer_sleeping,none,local_tout_worker_sleeping,49)).
item(sender,s0,msg(local_tout_worker_startTheWork,event,timer_startTheWork,none,local_tout_worker_startTheWork,52)).
item(sender,s0,msg(local_tout_worker_changeTurn,event,timer_changeTurn,none,local_tout_worker_changeTurn,55)).
item(sender,s0,msg(local_tout_worker_sleeping,event,timer_sleeping,none,local_tout_worker_sleeping,58)).
item(sender,s0,msg(local_tout_worker_startTheWork,event,timer_startTheWork,none,local_tout_worker_startTheWork,61)).
item(sender,s0,msg(local_tout_worker_changeTurn,event,timer_changeTurn,none,local_tout_worker_changeTurn,64)).
item(sender,s0,msg(local_tout_worker_sleeping,event,timer_sleeping,none,local_tout_worker_sleeping,67)).
item(sender,s0,msg(local_tout_worker_startTheWork,event,timer_startTheWork,none,local_tout_worker_startTheWork,70)).
item(sender,s0,msg(local_tout_worker_changeTurn,event,timer_changeTurn,none,local_tout_worker_changeTurn,73)).
item(sender,s0,msg(local_tout_worker_sleeping,event,timer_sleeping,none,local_tout_worker_sleeping,76)).
item(sender,s0,msg(local_tout_worker_startTheWork,event,timer_startTheWork,none,local_tout_worker_startTheWork,79)).
item(sender,s0,msg(local_tout_worker_changeTurn,event,timer_changeTurn,none,local_tout_worker_changeTurn,82)).
item(sender,s0,msg(local_tout_worker_sleeping,event,timer_sleeping,none,local_tout_worker_sleeping,85)).
item(sender,s0,msg(local_tout_worker_startTheWork,event,timer_startTheWork,none,local_tout_worker_startTheWork,88)).
item(sender,s0,msg(local_tout_worker_changeTurn,event,timer_changeTurn,none,local_tout_worker_changeTurn,91)).
item(sender,s0,msg(local_tout_worker_sleeping,event,timer_sleeping,none,local_tout_worker_sleeping,94)).
item(sender,s0,msg(local_tout_worker_startTheWork,event,timer_startTheWork,none,local_tout_worker_startTheWork,97)).
item(sender,s0,msg(local_tout_worker_changeTurn,event,timer_changeTurn,none,local_tout_worker_changeTurn,100)).
item(sender,s0,msg(local_tout_worker_sleeping,event,timer_sleeping,none,local_tout_worker_sleeping,103)).
item(sender,s0,msg(local_tout_worker_startTheWork,event,timer_startTheWork,none,local_tout_worker_startTheWork,106)).
item(sender,s0,msg(local_tout_worker_changeTurn,event,timer_changeTurn,none,local_tout_worker_changeTurn,109)).
item(sender,s0,msg(local_tout_worker_sleeping,event,timer_sleeping,none,local_tout_worker_sleeping,112)).
item(sender,s0,msg(local_tout_worker_startTheWork,event,timer_startTheWork,none,local_tout_worker_startTheWork,115)).
item(sender,s0,msg(local_tout_worker_changeTurn,event,timer_changeTurn,none,local_tout_worker_changeTurn,118)).
item(sender,s0,msg(local_tout_worker_sleeping,event,timer_sleeping,none,local_tout_worker_sleeping,121)).
item(sender,s0,msg(local_tout_worker_startTheWork,event,timer_startTheWork,none,local_tout_worker_startTheWork,124)).
item(sender,s0,msg(local_tout_worker_changeTurn,event,timer_changeTurn,none,local_tout_worker_changeTurn,127)).
item(sender,s0,msg(local_tout_worker_sleeping,event,timer_sleeping,none,local_tout_worker_sleeping,130)).
item(sender,s0,msg(local_tout_worker_startTheWork,event,timer_startTheWork,none,local_tout_worker_startTheWork,133)).
item(sender,s0,msg(local_tout_worker_changeTurn,event,timer_changeTurn,none,local_tout_worker_changeTurn,136)).
item(sender,s0,msg(local_tout_worker_sleeping,event,timer_sleeping,none,local_tout_worker_sleeping,139)).
item(sender,s0,msg(local_tout_worker_startTheWork,event,timer_startTheWork,none,local_tout_worker_startTheWork,142)).
item(sender,s0,msg(local_tout_worker_changeTurn,event,timer_changeTurn,none,local_tout_worker_changeTurn,145)).
item(sender,s0,msg(local_tout_worker_sleeping,event,timer_sleeping,none,local_tout_worker_sleeping,148)).
item(sender,s0,msg(local_tout_worker_startTheWork,event,timer_startTheWork,none,local_tout_worker_startTheWork,151)).
item(sender,s0,msg(local_tout_worker_changeTurn,event,timer_changeTurn,none,local_tout_worker_changeTurn,154)).
item(sender,s0,msg(local_tout_worker_sleeping,event,timer_sleeping,none,local_tout_worker_sleeping,157)).
item(sender,s0,msg(local_tout_worker_startTheWork,event,timer_startTheWork,none,local_tout_worker_startTheWork,160)).
item(sender,s0,msg(local_tout_worker_changeTurn,event,timer_changeTurn,none,local_tout_worker_changeTurn,163)).
item(sender,s0,msg(local_tout_worker_sleeping,event,timer_sleeping,none,local_tout_worker_sleeping,166)).
item(sender,s0,msg(local_tout_worker_startTheWork,event,timer_startTheWork,none,local_tout_worker_startTheWork,169)).
item(sender,s0,msg(local_tout_worker_changeTurn,event,timer_changeTurn,none,local_tout_worker_changeTurn,172)).
item(sender,s0,msg(local_tout_worker_sleeping,event,timer_sleeping,none,local_tout_worker_sleeping,175)).
item(sender,s0,msg(local_tout_worker_startTheWork,event,timer_startTheWork,none,local_tout_worker_startTheWork,178)).
item(sender,s0,msg(local_tout_worker_changeTurn,event,timer_changeTurn,none,local_tout_worker_changeTurn,181)).
